recid,hospid,hosp_level,statecode,state,districtcode,district,overall_prep_score
512,668,L2,13,Haryana,019,Rohtak,47.13
297,45,L2,13,Haryana,002,Bhiwani,39.18
1012,510,L2,13,Haryana,017,Panipat,0
362,320,L2,13,Haryana,011,Karnal,46.83
1183,880,L2,13,Haryana,001,Ambala,70.53
371,498,L2,13,Haryana,017,Panipat,25
1081,978,L3,13,Haryana,009,Jind,42.45
1252,1215,L3,13,Haryana,015,Palwal,12.08
714,880,L2,13,Haryana,001,Ambala,32.18
748,1,L3,13,Haryana,001,Ambala,16.13
989,856,L3,13,Haryana,004,Faridabad,3.18
544,345,L2,13,Haryana,011,Karnal,45
880,53,L2,13,Haryana,002,Bhiwani,29.15
1309,1279,L3,32,West Bengal,194,Purba mednipur,18.78
1314,1278,L3,32,West Bengal,194,Purba mednipur,15.68
1265,1054,L3,19,Maharashtra,154,Satara,19.1
302,361,L3,13,Haryana,012,Kurukshetra,15.58
842,44,L2,13,Haryana,002,Bhiwani,2
1174,991,L2,13,Haryana,007,Hisar,24.88
732,468,L3,13,Haryana,017,Panipat,1.13
576,418,L3,13,Haryana,014,Nuh,20.65
1362,233,L3,13,Haryana,009,Jind,5.38
452,709,L2,13,Haryana,004,Faridabad,55.05
307,81,L2,13,Haryana,006,Gurugram,50.13
1140,94,L3,13,Haryana,006,Gurugram,14.85
327,511,L2,13,Haryana,017,Panipat,29.48
942,943,L3,13,Haryana,002,Bhiwani,14.05
861,547,L2,13,Haryana,020,Sirsa,17.15
1013,790,L3,13,Haryana,005,Fatehabad,2.18
694,287,L3,13,Haryana,011,Karnal,27.33
405,189,L3,13,Haryana,022,Yamuna Nagar,-0.28
822,171,L3,13,Haryana,007,Hisar,25.3
1058,137,L3,13,Haryana,007,Hisar,6.9
1073,918,L2,13,Haryana,018,Rewari,56.1
769,880,L2,13,Haryana,001,Ambala,40.08
335,529,L3,13,Haryana,017,Panipat,37
824,199,L3,13,Haryana,008,Jhajjar,27.63
692,311,L2,13,Haryana,011,Karnal,29.1
1383,237,L3,13,Haryana,009,Jind,4.78
1194,1055,L3,29,Tamil Nadu,033,Kallakurichi,38.53
706,325,L3,13,Haryana,011,Karnal,36.13
534,274,L3,13,Haryana,010,Kaithal,15.23
1188,880,L2,13,Haryana,001,Ambala,50.65
776,299,L3,13,Haryana,011,Karnal,18.23
1269,1041,L3,19,Maharashtra,154,Satara,14.63
1030,117,L3,13,Haryana,007,Hisar,22.63
833,58,L2,13,Haryana,002,Bhiwani,17.53
1235,1063,L3,29,Tamil Nadu,033,Kallakurichi,5.53
428,571,L3,13,Haryana,020,Sirsa,19.1
1357,243,L3,13,Haryana,009,Jind,11.45
839,102,L3,13,Haryana,007,Hisar,28.25
1121,69,L3,13,Haryana,006,Gurugram,24.45
760,23,L3,13,Haryana,001,Ambala,23.23
1055,914,L2,13,Haryana,018,Rewari,50.85
1329,260,L2,13,Haryana,009,Jind,30.03
1370,258,L2,13,Haryana,009,Jind,15.6
375,718,L2,13,Haryana,010,Kaithal,54.5
1173,880,L2,13,Haryana,001,Ambala,70.68
440,710,L1,13,Haryana,004,Faridabad,43.43
713,622,L3,13,Haryana,018,Rewari,16.13
700,627,L3,13,Haryana,018,Rewari,6.3
1003,419,L2,13,Haryana,014,Nuh,0
1323,1291,L3,32,West Bengal,194,Purba mednipur,14.35
1197,880,L2,13,Haryana,001,Ambala,49.65
494,704,L2,13,Haryana,004,Faridabad,45.53
1009,479,L2,13,Haryana,017,Panipat,51.3
977,214,L3,13,Haryana,008,Jhajjar,5.7
603,593,L2,13,Haryana,022,Yamuna Nagar,21.65
1204,1077,L3,29,Tamil Nadu,033,Kallakurichi,6.8
1107,987,L2,13,Haryana,007,Hisar,59.13
1059,947,L3,13,Haryana,002,Bhiwani,18
1223,1083,L3,29,Tamil Nadu,033,Kallakurichi,12.35
619,820,L2,13,Haryana,020,Sirsa,40.33
1281,1257,L3,29,Tamil Nadu,051,Theni,4.35
852,42,L2,13,Haryana,002,Bhiwani,27.98
902,12,L3,13,Haryana,001,Ambala,16.08
1039,107,L3,13,Haryana,007,Hisar,14.9
1190,880,L2,13,Haryana,001,Ambala,50.65
1022,944,L3,13,Haryana,002,Bhiwani,6.33
