recid,hospid,hosp_level,statecode,state,districtcode,district,overall_prep_score
1344,755,L2,13,Haryana,009,Jind,36.05
1138,440,L2,13,Haryana,016,Panchkula,24.88
458,548,L3,13,Haryana,020,Sirsa,17.73
464,551,L3,13,Haryana,020,Sirsa,17.48
632,417,L3,13,Haryana,014,Nuh,25.93
1181,880,L2,13,Haryana,001,Ambala,70.68
771,16,L3,13,Haryana,001,Ambala,15.6
315,176,L3,13,Haryana,022,Yamuna Nagar,7.28
981,948,L3,13,Haryana,002,Bhiwani,9.95
1355,246,L3,13,Haryana,009,Jind,13.63
641,835,L2,13,Haryana,020,Sirsa,36.85
1301,880,L2,13,Haryana,001,Ambala,55.8
886,106,L3,13,Haryana,007,Hisar,16.53
548,772,L2,13,Haryana,022,Yamuna Nagar,18.95
823,203,L3,13,Haryana,008,Jhajjar,0
1113,635,L3,13,Haryana,019,Rohtak,17.93
878,53,L2,13,Haryana,002,Bhiwani,32.33
552,565,L3,13,Haryana,020,Sirsa,17.03
779,870,L2,13,Haryana,006,Gurugram,29.6
991,201,L3,13,Haryana,008,Jhajjar,9.3
1180,880,L2,13,Haryana,001,Ambala,70.68
310,148,L2,13,Haryana,007,Hisar,28.4
682,476,L3,13,Haryana,017,Panipat,8.73
1054,138,L3,13,Haryana,007,Hisar,18.65
493,557,L3,13,Haryana,020,Sirsa,11.68
827,733,L2,13,13,010,010,51.68
299,360,L3,13,Haryana,012,Kurukshetra,13.13
1008,504,L2,13,Haryana,017,Panipat,0
1004,119,L3,13,Haryana,007,Hisar,12.68
782,529,L3,13,Haryana,017,Panipat,37
642,815,L2,13,Haryana,020,Sirsa,44.55
1026,935,L3,13,Haryana,002,Bhiwani,13.98
538,273,L3,13,Haryana,010,Kaithal,17.8
453,688,L2,13,Haryana,004,Faridabad,44.13
1408,880,L2,13,Haryana,001,Ambala,48.2
1273,1222,L3,13,Haryana,015,Palwal,1.4
1193,880,L2,13,Haryana,001,Ambala,50.65
638,871,L2,13,Haryana,006,Gurugram,41.13
945,959,L3,13,Haryana,002,Bhiwani,5.2
1139,94,L3,13,Haryana,006,Gurugram,14.85
1302,1301,L1,32,West Bengal,194,Purba mednipur,48.05
1074,672,L2,13,Haryana,019,Rohtak,0
398,38,L3,13,Haryana,001,Ambala,36.4
460,563,L3,13,Haryana,020,Sirsa,14.63
374,711,L1,13,Haryana,004,Faridabad,57.28
803,47,L3,13,Haryana,002,Bhiwani,7.38
1412,1384,L2,31,Uttar Pradesh,207,Ambedkar Nagar,14.45
1312,1294,L3,29,Tamil Nadu,036,Karur,6.28
1014,126,L3,13,Haryana,007,Hisar,16.68
481,754,L3,13,Haryana,012,Kurukshetra,11.55
972,109,L3,13,Haryana,007,Hisar,22.13
500,475,L3,13,Haryana,017,Panipat,1.8
387,191,L3,13,Haryana,022,Yamuna Nagar,8.33
919,962,L1,13,Haryana,002,Bhiwani,36.23
1368,880,L2,13,Haryana,001,Ambala,46.08
316,483,L2,13,Haryana,017,Panipat,33.43
832,121,L3,13,Haryana,007,Hisar,3.55
301,366,L3,13,Haryana,012,Kurukshetra,6.03
1385,976,L3,13,Haryana,009,Jind,7.03
859,51,L3,13,Haryana,002,Bhiwani,36.4
1137,94,L3,13,Haryana,006,Gurugram,14.85
486,554,L3,13,Haryana,020,Sirsa,24.2
1035,356,L3,13,Haryana,012,Kurukshetra,16.58
976,204,L3,13,Haryana,008,Jhajjar,0
750,20,L3,13,Haryana,001,Ambala,11.3
1166,904,L2,13,Haryana,001,Ambala,30.9
580,420,L3,13,Haryana,014,Nuh,9.58
1232,1080,L3,29,Tamil Nadu,033,Kallakurichi,5.3
565,662,L2,13,Haryana,019,Rohtak,51.05
920,937,L2,13,Haryana,002,Bhiwani,0
1392,254,L3,13,Haryana,009,Jind,22.58
715,535,L2,13,Haryana,018,Rewari,38.48
904,11,L3,13,Haryana,001,Ambala,15.53
1207,1075,L3,29,Tamil Nadu,033,Kallakurichi,15.85
659,838,L2,13,Haryana,020,Sirsa,43.6
407,218,L2,13,Haryana,008,Jhajjar,52.68
879,53,L2,13,Haryana,002,Bhiwani,29.15
439,695,L3,13,Haryana,004,Faridabad,9.15
345,460,L3,13,Haryana,017,Panipat,21.25
590,434,L3,13,Haryana,014,Nuh,11.85
793,556,L3,13,Haryana,020,Sirsa,23.38
679,288,L2,13,Haryana,011,Karnal,54.8
1070,393,L2,13,Haryana,013,Mahendragarh,19.85
741,882,L3,13,Haryana,020,Sirsa,32.43
869,916,L2,13,Haryana,018,Rewari,53.23
1108,382,L1,13,Haryana,012,Kurukshetra,37.2
1274,1212,L3,13,Haryana,015,Palwal,0.43
881,53,L2,13,Haryana,002,Bhiwani,29.15
578,724,L3,13,Haryana,010,Kaithal,4.63
390,499,L2,13,Haryana,017,Panipat,27.1
457,506,L2,13,Haryana,017,Panipat,17.35
801,723,L3,13,Haryana,010,Kaithal,16.73
399,492,L2,13,Haryana,017,Panipat,0
997,945,L3,13,Haryana,002,Bhiwani,12.53
1088,781,L3,13,Haryana,005,Fatehabad,11.85
1224,1099,L3,29,Tamil Nadu,033,Kallakurichi,9.9
1305,1291,L3,32,West Bengal,194,Purba mednipur,14.35
1328,262,L3,13,Haryana,009,Jind,9.58
1170,1020,L2,13,Haryana,007,Hisar,0
465,544,L3,13,Haryana,020,Sirsa,5.45
488,472,L3,13,Haryana,017,Panipat,9.63
911,14,L3,13,Haryana,001,Ambala,9.43
498,560,L3,13,Haryana,020,Sirsa,12.63
394,353,L3,13,Haryana,012,Kurukshetra,27.9
1021,735,L2,13,Haryana,010,Kaithal,40.58
639,670,L2,13,Haryana,019,Rohtak,35.1
456,177,L3,13,Haryana,022,Yamuna Nagar,15.8
894,818,L2,13,Haryana,020,Sirsa,55.9
915,48,L2,13,Haryana,002,Bhiwani,27.68
806,54,L2,13,Haryana,002,Bhiwani,51.73
1171,880,L2,13,Haryana,001,Ambala,70.68
612,585,L2,13,Haryana,022,Yamuna Nagar,26.7
1099,904,L2,13,Haryana,001,Ambala,30.9
536,678,L2,13,Haryana,019,Rohtak,56.05
296,352,L3,13,Haryana,012,Kurukshetra,5.85
441,219,L2,13,Haryana,008,Jhajjar,38.43
1396,880,L2,13,Haryana,001,Ambala,47.2
623,844,NA,13,Haryana,006,Gurugram,NULL
601,612,L2,13,Haryana,022,Yamuna Nagar,53.28
291,286,L3,13,Haryana,011,Karnal,29.38
1214,1074,L3,29,Tamil Nadu,033,Kallakurichi,14.7
1253,1203,L3,13,Haryana,015,Palwal,11.35
1261,1042,L3,19,Maharashtra,154,Satara,17.15
525,700,L2,13,Haryana,004,Faridabad,33.6
1240,1082,L3,29,Tamil Nadu,033,Kallakurichi,6.7
982,985,L3,13,Haryana,002,Bhiwani,5.88
799,53,L2,13,Haryana,002,Bhiwani,44.33
704,621,L3,13,Haryana,018,Rewari,17.73
797,895,L2,13,Haryana,012,Kurukshetra,30.58
1153,747,L2,13,Haryana,007,Hisar,0
666,281,L3,13,Haryana,011,Karnal,33.63
1124,438,L3,13,Haryana,016,Panchkula,36.85
1296,1269,L3,32,West Bengal,194,Purba mednipur,11.28
1175,137,L3,13,Haryana,007,Hisar,6.9
1157,1009,L2,13,Haryana,007,Hisar,0
1156,1005,L2,13,Haryana,007,Hisar,0
1025,68,L3,13,Haryana,006,Gurugram,0
1374,1303,L3,32,West Bengal,194,Purba mednipur,35.88
556,605,L2,13,Haryana,022,Yamuna Nagar,37.73
678,875,L2,13,Haryana,010,Kaithal,39.65
1147,94,L3,13,Haryana,006,Gurugram,16.18
1367,880,L2,13,Haryana,001,Ambala,47.08
998,961,L2,13,Haryana,002,Bhiwani,0
378,486,L2,13,Haryana,017,Panipat,0
653,110,L2,13,Haryana,007,Hisar,52.53
756,534,L3,13,Haryana,018,Rewari,26.9
1283,1210,L3,13,Haryana,015,Palwal,10.83
853,56,L2,13,Haryana,002,Bhiwani,48.35
1162,1007,L2,13,Haryana,007,Hisar,0
925,979,L2,13,Haryana,001,Ambala,16.73
702,280,L3,13,Haryana,011,Karnal,6.63
1334,1304,L3,32,West Bengal,194,Purba mednipur,11.63
707,624,L3,13,Haryana,018,Rewari,14.45
610,587,L1,13,Haryana,022,Yamuna Nagar,23.8
758,8,L3,13,Haryana,001,Ambala,15.3
336,512,L3,13,Haryana,017,Panipat,61.53
939,941,L3,13,Haryana,002,Bhiwani,10.63
752,539,L3,13,Haryana,018,Rewari,8.53
518,596,L2,13,Haryana,022,Yamuna Nagar,20.18
1062,136,L3,13,Haryana,007,Hisar,11.9
877,53,L2,13,Haryana,002,Bhiwani,32.33
1123,132,L3,13,Haryana,007,Hisar,3.4
1264,1221,L3,13,Haryana,015,Palwal,8.38
892,927,L2,13,Haryana,001,Ambala,32.63
1150,72,L3,13,Haryana,006,Gurugram,0.73
665,811,L2,13,Haryana,020,Sirsa,32.05
740,778,L2,13,Haryana,005,Fatehabad,27.38
323,295,L3,13,Haryana,011,Karnal,19.8
1066,140,L3,13,Haryana,007,Hisar,8.83
662,821,L2,13,Haryana,020,Sirsa,30.28
485,352,L3,13,Haryana,012,Kurukshetra,5.85
1315,1316,L2,32,West Bengal,194,Purba mednipur,42.05
561,865,L2,13,Haryana,004,Faridabad,41.9
964,971,L3,13,Haryana,002,Bhiwani,17.28
429,186,L3,13,Haryana,022,Yamuna Nagar,3.2
1276,1223,L3,13,Haryana,015,Palwal,2.48
814,153,L1,13,Haryana,007,Hisar,46.68
742,2,L3,13,Haryana,001,Ambala,18.8
628,80,L2,13,Haryana,006,Gurugram,38.13
300,362,L3,13,Haryana,012,Kurukshetra,1.4
502,566,L3,13,Haryana,020,Sirsa,28.23
717,809,L2,13,Haryana,020,Sirsa,44.9
1238,1083,L3,29,Tamil Nadu,033,Kallakurichi,12.35
897,57,L2,13,Haryana,002,Bhiwani,1.1
348,185,L3,13,Haryana,022,Yamuna Nagar,16.35
651,838,L2,13,Haryana,020,Sirsa,44.85
1407,1370,L2,19,Maharashtra,159,Nanded,22.03
1090,782,L3,13,Haryana,005,Fatehabad,4.68
1047,134,L3,13,Haryana,007,Hisar,19.18
562,743,L3,13,Haryana,010,Kaithal,44.9
1227,1055,L3,29,Tamil Nadu,033,Kallakurichi,38.53
947,966,L2,13,Haryana,002,Bhiwani,19.88
1027,213,L3,13,Haryana,008,Jhajjar,4.8
885,905,L2,13,Haryana,001,Ambala,1
519,746,L3,13,Haryana,010,Kaithal,23.63
383,515,L2,13,Haryana,017,Panipat,0
800,13,L3,13,Haryana,001,Ambala,6.35
1043,958,L3,13,Haryana,002,Bhiwani,7.38
914,445,L3,13,Haryana,016,Panchkula,0
1401,1372,L2,19,Maharashtra,159,Nanded,27.65
1298,1267,L3,32,West Bengal,194,Purba mednipur,37.28
546,660,L2,13,Haryana,019,Rohtak,30.4
936,416,L3,13,Haryana,014,Nuh,37.18
1080,370,L3,13,Haryana,012,Kurukshetra,10.83
1196,880,L2,13,Haryana,001,Ambala,49.65
944,954,L3,13,Haryana,002,Bhiwani,10.83
890,43,L2,13,Haryana,002,Bhiwani,14.05
846,543,L3,13,Haryana,020,Sirsa,21.65
600,278,L3,13,Haryana,010,Kaithal,3.93
907,12,L3,13,Haryana,001,Ambala,16.08
874,567,L3,13,Haryana,020,Sirsa,0
294,422,L3,13,Haryana,014,Nuh,4.8
1388,1319,L3,32,West Bengal,194,Purba mednipur,14.33
513,586,L2,13,Haryana,022,Yamuna Nagar,37.35
1393,239,L3,13,Haryana,009,Jind,3.45
1161,1013,L2,13,Haryana,007,Hisar,0
957,939,L3,13,Haryana,002,Bhiwani,12.95
697,338,L2,13,Haryana,011,Karnal,0
1103,329,L2,13,Haryana,011,Karnal,28.58
884,114,L3,13,Haryana,007,Hisar,7.18
996,957,L3,13,Haryana,002,Bhiwani,16.9
701,727,L3,13,Haryana,010,Kaithal,11.68
749,21,L3,13,Haryana,001,Ambala,6.38
1093,795,L3,13,Haryana,005,Fatehabad,27.25
1246,1097,L3,29,Tamil Nadu,033,Kallakurichi,20.53
445,701,L2,13,Haryana,004,Faridabad,47.95
342,518,L2,13,Haryana,017,Panipat,44.45
811,302,L3,13,Haryana,011,Karnal,14.35
385,180,L3,13,Haryana,022,Yamuna Nagar,19.8
1250,1207,L3,19,Maharashtra,155,Kolhapur,26.08
1109,796,L3,13,Haryana,005,Fatehabad,16.18
930,923,L3,13,Haryana,018,Rewari,32.35
854,53,L2,13,Haryana,002,Bhiwani,44.33
1243,1068,L3,29,Tamil Nadu,033,Kallakurichi,15.33
979,794,L3,13,Haryana,005,Fatehabad,4.15
1119,1000,L2,13,Haryana,005,Fatehabad,23.73
290,92,L2,13,Haryana,006,Gurugram,45.28
288,329,L2,13,Haryana,011,Karnal,28.58
1049,920,L2,13,Haryana,018,Rewari,42.78
615,603,L2,13,Haryana,022,Yamuna Nagar,31.98
910,964,L2,13,Haryana,002,Bhiwani,33.88
1129,209,L3,13,Haryana,008,Jhajjar,0
908,518,L2,13,Haryana,017,Panipat,44.45
1178,880,L2,13,Haryana,001,Ambala,70.68
1233,1079,L3,29,Tamil Nadu,033,Kallakurichi,29.4
1006,119,L3,13,Haryana,007,Hisar,12.68
657,832,L2,13,Haryana,020,Sirsa,24.18
1084,799,L2,13,Haryana,005,Fatehabad,52.68
835,118,L3,13,Haryana,007,Hisar,4.1
584,428,L3,13,Haryana,014,Nuh,25.2
1040,125,L3,13,Haryana,007,Hisar,8.55
1024,736,L2,13,Haryana,010,Kaithal,49.93
1096,554,L3,13,Haryana,020,Sirsa,24.2
887,113,L3,13,Haryana,007,Hisar,24.95
499,467,L3,13,Haryana,017,Panipat,4.38
332,84,NA,13,Haryana,006,Gurugram,NULL
762,536,L3,13,Haryana,018,Rewari,10.18
1116,632,L3,13,Haryana,019,Rohtak,16.2
671,841,L2,13,Haryana,020,Sirsa,33.98
594,824,L1,13,Haryana,020,Sirsa,50.8
672,469,L3,13,Haryana,017,Panipat,10.08
988,859,L3,13,Haryana,004,Faridabad,2.48
955,967,L3,13,Haryana,002,Bhiwani,29.18
430,699,L3,13,Haryana,004,Faridabad,32.25
1285,1209,L3,13,Haryana,015,Palwal,6.6
334,357,L2,13,Haryana,012,Kurukshetra,49.7
416,547,L2,13,Haryana,020,Sirsa,17.15
419,546,L3,13,Haryana,020,Sirsa,19.28
1247,1037,L2,19,Maharashtra,154,Satara,32.93
1347,251,L3,13,Haryana,009,Jind,10.2
1104,998,L3,13,Haryana,005,Fatehabad,0
295,526,L2,13,Haryana,017,Panipat,0
558,582,L2,13,Haryana,022,Yamuna Nagar,23.43
1112,1001,L2,13,Haryana,005,Fatehabad,0
570,424,L3,13,Haryana,014,Nuh,5.18
462,561,L3,13,Haryana,020,Sirsa,11.03
435,706,L2,13,Haryana,004,Faridabad,47.6
1359,253,L3,13,Haryana,009,Jind,9.53
817,202,L3,13,Haryana,008,Jhajjar,0
409,616,L2,13,13,001,001,0
1230,1096,L3,29,Tamil Nadu,033,Kallakurichi,16.15
459,690,L3,13,Haryana,004,Faridabad,11.33
1389,247,L3,13,Haryana,009,Jind,15.93
747,5,L3,13,Haryana,001,Ambala,10.8
937,952,L3,13,Haryana,002,Bhiwani,7.53
417,612,L2,13,Haryana,022,Yamuna Nagar,53.28
1241,1092,L3,29,Tamil Nadu,033,Kallakurichi,16.55
1338,880,L2,13,Haryana,001,Ambala,47.65
1313,1310,L2,32,West Bengal,194,Purba mednipur,27.73
476,606,L2,13,Haryana,022,Yamuna Nagar,29.5
970,906,L3,13,Haryana,008,Jhajjar,0
591,430,L3,13,Haryana,014,Nuh,17.68
821,198,L3,13,Haryana,008,Jhajjar,0
1089,800,L2,13,Haryana,005,Fatehabad,53.38
618,679,L1,13,Haryana,019,Rohtak,49.3
1260,1211,L3,13,Haryana,015,Palwal,0.55
1236,1082,L3,29,Tamil Nadu,033,Kallakurichi,6.7
1127,297,L3,13,Haryana,011,Karnal,22.98
560,849,L2,13,Haryana,004,Faridabad,33.9
511,674,L2,13,Haryana,019,Rohtak,0
968,113,L3,13,Haryana,007,Hisar,24.95
1353,232,L3,13,Haryana,009,Jind,10.65
1390,238,L3,13,Haryana,009,Jind,4.53
1325,880,L2,13,Haryana,001,Ambala,47.65
1167,794,L3,13,Haryana,005,Fatehabad,4.15
349,181,L3,13,Haryana,022,Yamuna Nagar,22.83
656,127,L3,13,Haryana,007,Hisar,13.75
696,629,L3,13,Haryana,018,Rewari,19.68
528,696,L3,13,Haryana,004,Faridabad,9.05
530,685,L3,13,Haryana,004,Faridabad,33.18
411,216,L2,13,Haryana,008,Jhajjar,38.83
844,899,L2,13,Haryana,007,Hisar,51.1
1404,1367,L2,19,Maharashtra,159,Nanded,23.23
901,928,L2,13,Haryana,001,Ambala,25.28
372,517,L2,13,Haryana,017,Panipat,11.23
1280,1200,L3,13,Haryana,015,Palwal,22.73
780,79,L2,13,Haryana,006,Gurugram,0
1220,1097,L3,29,Tamil Nadu,033,Kallakurichi,20.53
862,547,L2,13,Haryana,020,Sirsa,17.15
1158,1011,L2,13,Haryana,007,Hisar,0
515,738,L2,13,Haryana,010,Kaithal,51.85
455,580,L2,13,Haryana,022,Yamuna Nagar,25.03
1179,880,L2,13,Haryana,001,Ambala,70.68
1078,135,L3,13,Haryana,007,Hisar,13.83
503,60,L1,13,Haryana,004,Faridabad,44.63
1327,263,L2,13,Haryana,009,Jind,4.45
935,416,L3,13,Haryana,014,Nuh,37.18
1189,880,L2,13,Haryana,001,Ambala,50.65
1215,1085,L3,29,Tamil Nadu,033,Kallakurichi,22.2
577,423,L3,13,Haryana,014,Nuh,0.28
893,368,L3,13,Haryana,012,Kurukshetra,15.45
1278,1050,L3,19,Maharashtra,154,Satara,2.78
338,507,L2,13,Haryana,017,Panipat,0
539,277,L3,13,Haryana,010,Kaithal,38.65
1330,255,L2,13,Haryana,009,Jind,29.03
1332,1311,L3,32,West Bengal,194,Purba mednipur,8.78
621,433,L3,13,Haryana,014,Nuh,27.98
655,588,L2,13,Haryana,022,Yamuna Nagar,35.4
1282,1202,L3,13,Haryana,015,Palwal,13.98
831,115,L3,13,Haryana,007,Hisar,25.45
798,59,L2,13,Haryana,002,Bhiwani,43.33
1145,94,L3,13,Haryana,006,Gurugram,14.85
510,271,L3,13,Haryana,010,Kaithal,21.05
738,2,L3,13,Haryana,001,Ambala,18.8
677,328,L2,13,Haryana,011,Karnal,57.33
314,177,L3,13,Haryana,022,Yamuna Nagar,11.8
317,481,L2,13,Haryana,017,Panipat,59.43
953,222,L3,13,Haryana,008,Jhajjar,0
995,207,L3,13,Haryana,008,Jhajjar,9.53
985,436,L3,13,Haryana,014,Nuh,12.68
856,893,L2,13,Haryana,020,Sirsa,0
318,377,L2,13,Haryana,012,Kurukshetra,54.55
506,689,L3,13,Haryana,004,Faridabad,11.03
1371,241,L3,13,Haryana,009,Jind,11.65
1304,1305,L3,32,West Bengal,194,Purba mednipur,10.93
753,37,L3,13,Haryana,001,Ambala,25.48
1002,119,L3,13,Haryana,007,Hisar,12.68
899,15,L3,13,Haryana,001,Ambala,8.98
938,942,L3,13,Haryana,002,Bhiwani,0
1050,133,L3,13,Haryana,007,Hisar,6.8
1048,989,L3,13,Haryana,005,Fatehabad,2.48
795,889,L2,13,Haryana,012,Kurukshetra,45.38
840,547,L2,13,Haryana,020,Sirsa,17.15
574,427,L3,13,Haryana,014,Nuh,0
1350,245,L3,13,Haryana,009,Jind,5.95
585,421,L3,13,Haryana,014,Nuh,14
1308,1281,L3,32,West Bengal,194,Purba mednipur,23.9
794,382,L1,13,Haryana,012,Kurukshetra,37.2
1245,1077,L3,29,Tamil Nadu,033,Kallakurichi,6.8
1105,997,L2,13,Haryana,007,Hisar,24.88
1144,94,L3,13,Haryana,006,Gurugram,14.85
533,702,L2,13,Haryana,004,Faridabad,47.43
1226,1087,L3,29,Tamil Nadu,033,Kallakurichi,17.8
784,25,L2,13,Haryana,001,Ambala,44.23
337,508,L2,13,Haryana,017,Panipat,53.73
764,846,L2,13,Haryana,006,Gurugram,61.15
1128,292,L3,13,Haryana,011,Karnal,19.8
975,425,L3,13,Haryana,014,Nuh,6.35
1191,880,L2,13,Haryana,001,Ambala,50.65
311,159,L2,13,Haryana,007,Hisar,0
21,880,L2,999,Test State,NULL,Test District,44.48
1376,880,L2,13,Haryana,001,Ambala,47.2
444,503,NA,13,Haryana,017,Panipat,NULL
1365,265,L2,13,Haryana,009,Jind,35.55
906,891,L2,13,Haryana,012,Kurukshetra,48.58
1384,224,L3,13,Haryana,009,Jind,20.4
326,351,L3,13,Haryana,011,Karnal,25.3
1164,1022,L2,13,Haryana,007,Hisar,0
1114,652,L3,13,Haryana,019,Rohtak,0
304,363,L3,13,Haryana,012,Kurukshetra,0
1306,1280,L3,32,West Bengal,194,Purba mednipur,15.45
1000,864,L1,13,Haryana,004,Faridabad,0
1211,1098,L3,29,Tamil Nadu,033,Kallakurichi,11.68
1225,1094,L3,29,Tamil Nadu,033,Kallakurichi,13.13
1141,293,L3,13,Haryana,011,Karnal,26.78
818,221,L3,13,Haryana,008,Jhajjar,5.98
984,964,L2,13,Haryana,002,Bhiwani,33.88
520,268,L3,13,Haryana,010,Kaithal,12.75
647,873,L2,13,Haryana,006,Gurugram,0
739,886,L3,13,Haryana,020,Sirsa,35.55
855,56,L2,13,Haryana,002,Bhiwani,48.35
414,187,L3,13,Haryana,022,Yamuna Nagar,5.8
614,269,L3,13,Haryana,010,Kaithal,27
1133,94,L3,13,Haryana,006,Gurugram,15.43
393,178,L3,13,Haryana,022,Yamuna Nagar,19.18
851,474,L3,13,Haryana,017,Panipat,8.4
1251,1214,L3,13,Haryana,015,Palwal,0
905,10,L3,13,Haryana,001,Ambala,22.4
1077,371,L3,13,Haryana,012,Kurukshetra,2.4
912,9,L3,13,Haryana,001,Ambala,15
344,524,L2,13,Haryana,017,Panipat,20.33
1151,151,L2,13,Haryana,007,Hisar,56.88
1094,784,L3,13,Haryana,005,Fatehabad,44.73
841,902,L3,13,Haryana,008,Jhajjar,6.58
559,658,L2,13,Haryana,019,Rohtak,58.03
1097,993,L1,13,Haryana,007,Hisar,53.88
868,103,L3,13,Haryana,007,Hisar,36.4
400,523,L2,13,Haryana,017,Panipat,53.1
660,810,L2,13,Haryana,020,Sirsa,47.3
1318,1306,L3,32,West Bengal,194,Purba mednipur,15.2
990,776,L3,13,Haryana,005,Fatehabad,18.33
830,367,L3,13,Haryana,012,Kurukshetra,10.78
926,3,L3,13,Haryana,001,Ambala,20.75
1017,955,L3,13,Haryana,002,Bhiwani,10.85
1045,132,L3,13,Haryana,007,Hisar,3.4
783,721,L3,13,Haryana,010,Kaithal,25
993,856,L3,13,Haryana,004,Faridabad,3.18
443,692,L3,13,Haryana,004,Faridabad,8.23
1284,1218,L3,13,Haryana,015,Palwal,4.63
745,722,L3,13,Haryana,010,Kaithal,8.4
522,691,L3,13,Haryana,004,Faridabad,5.83
847,162,L3,13,Haryana,007,Hisar,29.33
857,43,L2,13,Haryana,002,Bhiwani,13.65
646,639,L3,13,Haryana,019,Rohtak,14.68
875,53,L2,13,Haryana,002,Bhiwani,32.33
693,336,L2,13,Haryana,011,Karnal,47.55
1163,45,L2,13,Haryana,002,Bhiwani,39.18
1256,1217,L3,13,Haryana,015,Palwal,5.5
863,53,L2,13,Haryana,002,Bhiwani,42.33
870,909,L2,13,Haryana,018,Rewari,30.58
1213,1059,L3,29,Tamil Nadu,033,Kallakurichi,11.9
850,904,L2,13,Haryana,001,Ambala,30.9
809,549,L3,13,Haryana,020,Sirsa,18.63
582,416,L3,13,Haryana,014,Nuh,37.18
1034,200,L3,13,Haryana,008,Jhajjar,0
1372,229,L3,13,Haryana,009,Jind,13.78
711,870,L2,13,Haryana,006,Gurugram,29.6
698,628,L3,13,Haryana,018,Rewari,8.98
1011,505,L2,13,Haryana,017,Panipat,14.68
606,825,L2,13,Haryana,020,Sirsa,30.35
663,821,L2,13,Haryana,020,Sirsa,30.28
980,855,L3,13,Haryana,004,Faridabad,0
292,422,L3,13,Haryana,014,Nuh,0
1337,1315,L3,32,West Bengal,194,Purba mednipur,12.55
838,545,L3,13,Haryana,020,Sirsa,36.8
1087,774,L3,13,Haryana,005,Fatehabad,39.98
1169,120,L3,13,Haryana,007,Hisar,8.13
589,813,L2,13,Haryana,020,Sirsa,48.48
948,953,L3,13,Haryana,002,Bhiwani,9.63
1117,387,L3,13,Haryana,013,Mahendragarh,0
1340,259,L2,13,Haryana,009,Jind,0
421,571,L3,13,Haryana,020,Sirsa,19.38
1254,1101,L2,13,Haryana,015,Palwal,29.08
725,881,L2,13,Haryana,020,Sirsa,36.3
1217,1086,L3,29,Tamil Nadu,033,Kallakurichi,8.23
848,745,L2,13,Haryana,001,Ambala,40.55
468,463,L3,13,13,017,017,4.98
791,358,L3,13,Haryana,012,Kurukshetra,14.5
564,729,L3,13,Haryana,010,Kaithal,7.9
1209,1065,L3,29,Tamil Nadu,033,Kallakurichi,13.2
1016,422,L3,13,Haryana,014,Nuh,4.8
872,50,L2,13,Haryana,002,Bhiwani,33.25
943,983,L2,13,Haryana,001,Ambala,33.3
983,951,L3,13,Haryana,002,Bhiwani,0.28
333,363,L3,13,Haryana,012,Kurukshetra,10.88
865,883,L3,13,Haryana,012,Kurukshetra,15.73
960,984,L3,13,Haryana,002,Bhiwani,31.85
770,880,L2,13,Haryana,001,Ambala,44.18
505,661,L2,13,Haryana,019,Rohtak,52.85
284,283,L3,13,Haryana,011,Karnal,15.28
508,676,L2,13,Haryana,019,Rohtak,42.43
376,494,L3,13,Haryana,017,Panipat,55.7
